model,true_label_id,true_label,predicted_label_id,predicted_label,count,ratio_in_true_label
kobert_compatible_klue_roberta_small,2,육아/교육,0,인권/성평등,230,0.11687
kobert_compatible_klue_roberta_small,0,인권/성평등,1,문화/예술/체육/언론,141,0.072494
kobert_compatible_klue_roberta_small,0,인권/성평등,2,육아/교육,106,0.054499
kobert_compatible_klue_roberta_small,1,문화/예술/체육/언론,0,인권/성평등,103,0.052073
kobert_compatible_klue_roberta_small,2,육아/교육,1,문화/예술/체육/언론,56,0.028455
kobert_compatible_klue_roberta_small,1,문화/예술/체육/언론,2,육아/교육,43,0.021739
lstm,0,인권/성평등,2,육아/교육,470,0.241645
lstm,2,육아/교육,0,인권/성평등,315,0.160061
lstm,0,인권/성평등,1,문화/예술/체육/언론,298,0.153213
lstm,1,문화/예술/체육/언론,0,인권/성평등,214,0.10819
lstm,1,문화/예술/체육/언론,2,육아/교육,187,0.09454
lstm,2,육아/교육,1,문화/예술/체육/언론,151,0.076728
tfidf_random_forest,2,육아/교육,0,인권/성평등,251,0.127541
tfidf_random_forest,1,문화/예술/체육/언론,0,인권/성평등,247,0.124874
tfidf_random_forest,0,인권/성평등,1,문화/예술/체육/언론,242,0.124422
tfidf_random_forest,0,인권/성평등,2,육아/교육,213,0.109512
tfidf_random_forest,2,육아/교육,1,문화/예술/체육/언론,150,0.07622
tfidf_random_forest,1,문화/예술/체육/언론,2,육아/교육,114,0.057634
